comm_id,city,district,title,title_1,session,ordinal_no,sitting,date,url
gb0926703,서울특별시,강북구,본회의,임시회,제267회,제9대,제3차,2023.10.23,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7715&mem_sch=all&schwrd=
gb0926702,서울특별시,강북구,본회의,임시회,제267회,제9대,제2차,2023.10.13,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7710&mem_sch=all&schwrd=
db0926701,서울특별시,도봉구,본회의,임시회,제267회,제9대,제1차,2023.10.12,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7714&mem_sch=all&schwrd=
gb0926602,서울특별시,강북구,본회의,임시회,제266회,제9대,제2차,2023.9.11,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7636&mem_sch=all&schwrd=
gb0926601,서울특별시,강북구,본회의,임시회,제266회,제9대,제1차,2023.8.29,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7652&mem_sch=all&schwrd=
gb0926502,서울특별시,강북구,본회의,임시회,제265회,제9대,제2차,2023.7.17,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7156&mem_sch=all&schwrd=
gb0926501,서울특별시,강북구,본회의,임시회,제265회,제9대,제1차,2023.7.10,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7155&mem_sch=all&schwrd=
gb0926402,서울특별시,강북구,본회의,정례회,제264회,제9대,제2차,2023.6.12,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7165&mem_sch=all&schwrd=
gb0926401,서울특별시,강북구,본회의,임시회,제264회,제9대,제1차,2023.6.1,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7164&mem_sch=all&schwrd=
gb0926303,서울특별시,강북구,본회의,임시회,제263회,제9대,제3차,2023.5.1,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7175&mem_sch=all&schwrd=
db0926302,서울특별시,도봉구,본회의,임시회,제263회,제9대,제2차,2023.4.25,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7174&mem_sch=all&schwrd=
gb0926301,서울특별시,강북구,본회의,임시회,제263회,제9대,제1차,2023.4.24,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7173&mem_sch=all&schwrd=
gb0926202,서울특별시,강북구,본회의,임시회,제262회,제9대,제2차,2023.3.20,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7182&mem_sch=all&schwrd=
gb0926201,서울특별시,강북구,본회의,임시회,제262회,제9대,제1차,2023.3.10,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7588&mem_sch=all&schwrd=
gb0926102,서울특별시,강북구,본회의,임시회,제261회,제9대,제2차,2023.2.8,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7190&mem_sch=all&schwrd=
gb0926101,서울특별시,강북구,본회의,임시회,제261회,제9대,제1차,2023.1.31,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7189&mem_sch=all&schwrd=
gb0926002,서울특별시,강북구,본회의,정례회,제260회,제9대,제2차,2022.12.16,https://council.gangbuk.go.kr/viewer/minutes.do?uid=6958&mem_sch=all&schwrd=
db0926001,서울특별시,도봉구,본회의,임시회,제260회,제9대,제1차,2022.11.22,https://council.gangbuk.go.kr/viewer/minutes.do?uid=7015&mem_sch=all&schwrd=
db0925903,서울특별시,도봉구,본회의,임시회,제259회,제9대,제3차,2022.10.20,https://council.gangbuk.go.kr/viewer/minutes.do?uid=6831&mem_sch=all&schwrd=
db0925902,서울특별시,도봉구,본회의,임시회,제259회,제9대,제2차,2022.10.14,https://council.gangbuk.go.kr/viewer/minutes.do?uid=5226&mem_sch=all&schwrd=
db0925901,서울특별시,도봉구,본회의,임시회,제259회,제9대,제1차,2022.10.13,https://council.gangbuk.go.kr/viewer/minutes.do?uid=5215&mem_sch=all&schwrd=
gb0925802,서울특별시,강북구,본회의,정례회,제258회,제9대,제2차,2022.9.26,https://council.gangbuk.go.kr/viewer/minutes.do?uid=5223&mem_sch=all&schwrd=
gb0925801,서울특별시,강북구,본회의,임시회,제258회,제9대,제1차,2022.9.15,https://council.gangbuk.go.kr/viewer/minutes.do?uid=5222&mem_sch=all&schwrd=
gb0925702,서울특별시,강북구,본회의,임시회,제257회,제9대,제2차,2022.7.21,https://council.gangbuk.go.kr/viewer/minutes.do?uid=5147&mem_sch=all&schwrd=
gb0925701,서울특별시,강북구,본회의,임시회,제257회,제9대,제1차,2022.7.14,https://council.gangbuk.go.kr/viewer/minutes.do?uid=5146&mem_sch=all&schwrd=
xx0925602,서울특별시,nan,본회의,임시회,제256회,제9대,제2차,2022.7.8,https://council.gangbuk.go.kr/viewer/minutes.do?uid=5144&mem_sch=all&schwrd=
gb0925601,서울특별시,강북구,본회의,임시회,제256회,제9대,제1차,2022.7.7,https://council.gangbuk.go.kr/viewer/minutes.do?uid=5143&mem_sch=all&schwrd=
gd0931701,서울특별시,강동구,본회의,임시회,제317회,제9대,제1차,2025.7.24,
gd0931601,서울특별시,강동구,본회의,정례회,제316회,제9대,제1차,2025.6.4,
gd0931602,서울특별시,강동구,본회의,임시회,제316회,제9대,제2차,2025.6.11,
gd0931603,서울특별시,강동구,본회의,정례회,제316회,제9대,제3차,2025.6.20,
gd0931501,서울특별시,강동구,본회의,임시회,제315회,제9대,제1차,2025.4.17,
gd0931502,서울특별시,강동구,본회의,임시회,제315회,제9대,제2차,2025.4.30,
gd0931401,서울특별시,강동구,본회의,임시회,제314회,제9대,제1차,2025.2.14,
gd0931402,서울특별시,강동구,본회의,임시회,제314회,제9대,제2차,2025.2.27,
gd0931301,서울특별시,강동구,본회의,정례회,제313회,제9대,제1차,2024.11.20,
gd0931302,서울특별시,강동구,본회의,정례회,제313회,제9대,제2차,2024.12.5,
xx0931303,서울특별시,nan,본회의,정례회,제313회,제9대,제3차,2024.12.18,
xx0931304,서울특별시,nan,본회의,정례회,제313회,제9대,제4차,2024.12.19,
gd0931305,서울특별시,강동구,본회의,정례회,제313회,제9대,제5차,2024.12.20,
gd0931201,서울특별시,강동구,본회의,임시회,제312회,제9대,제1차,2024.10.15,
gd0931202,서울특별시,강동구,본회의,임시회,제312회,제9대,제2차,2024.10.24,
xx0931101,서울특별시,nan,본회의,임시회,제311회,제9대,제1차,2024.9.6,
gd0931102,서울특별시,강동구,본회의,임시회,제311회,제9대,제2차,2024.9.9,
